label,bin_time_s,naive_time_s,naive_cv_pct,naive_stable,naive_mem_kb,naive_D,naive_R2,opt_time_s,opt_total_time_s,opt_cv_pct,opt_stable,opt_mem_kb,opt_D,opt_R2,threshold_sensitivity,method,naive_lacunarity,opt_lacunarity
benign,0.0058097300000099494,0.15426754436364573,4.992593452349865,True,0.828125,1.8950761456725596,0.999721333094319,0.2537210811111158,0.25953081111112575,1.3911493631045406,True,5376.990234375,1.8950761456725596,0.999721333094319,0.08985643510637109,BC,,
benign,0.003184928999985459,0.20767529033333984,1.2395474674809694,True,0.765625,1.7947385471636073,0.9984825911526092,0.2581717864444373,0.26135671544442274,3.703673953675611,True,5376.8779296875,1.7947385471636073,0.9984825911526092,0.0818420995077278,BC,,
benign,0.0018379800000047908,0.13974174333333167,1.8020499241736734,True,0.6875,1.9049089617155135,0.9995952564429944,0.2511671403333303,0.2530051203333351,3.11486713219942,True,5376.7998046875,1.9049089617155135,0.9995952564429944,0.043098277951436836,BC,,
benign,0.0015827889999968647,0.1851299928888908,1.0326822039064183,True,0.625,1.8298470316394024,0.9987268743882355,0.24303280244445583,0.2446155914444527,1.5907669757271938,True,5376.7373046875,1.8298470316394024,0.9987268743882355,0.07072805498648993,BC,,
benign,0.0016093600000317565,0.16067509933333213,1.19303606503114,True,0.546875,1.8815601266517847,0.9997333414394545,0.24789168744443182,0.24950104744446358,0.8599095064670638,True,5376.708984375,1.8815601266517847,0.9997333414394545,0.038577179004169126,BC,,
benign,0.0015077400000222951,0.1953088371111057,0.7313246603584849,True,0.484375,1.815277756560343,0.9992156260886794,0.24602800966667676,0.24753574966669906,0.7608392566499972,True,5376.646484375,1.815277756560343,0.9992156260886794,0.060531163257447895,BC,,
benign,0.001455190000001494,0.14962765284614604,4.848151694491723,True,0.40625,1.902003942883006,0.9998398971156579,0.24937972033332143,0.25083491033332295,1.5965639329008716,True,5376.5185546875,1.902003942883006,0.9998398971156579,0.047093661816418164,BC,,
benign,0.0014725300000009156,0.19464971877777593,1.2331391371606328,True,0.3671875,1.8642994571760554,0.9999721498069559,0.25109910466666935,0.25257163466667026,1.4938189142848999,True,5376.5107421875,1.8642994571760554,0.9999721498069559,0.0497599589176565,BC,,
benign,0.0014763599999696453,0.19052053700000393,1.3231105228088413,True,0.3671875,1.8358738602039484,0.9995107010020232,0.2522416534444447,0.25371801344441436,1.2088598461533666,True,5376.5107421875,1.8358738602039484,0.9995107010020232,0.05629596652231883,BC,,
benign,0.0014965500000130305,0.2010883324444358,1.8002353164330396,True,0.3671875,1.823717998114417,0.999462951303137,0.2507637301111079,0.25226028011112095,3.5062588060688142,True,5376.560546875,1.823717998114417,0.999462951303137,0.06718917938012159,BC,,
benign,0.0015417100000263417,0.1582310131111121,2.4447801590920437,True,0.3671875,1.8901609169765254,0.9997757036809176,0.24405560211112565,0.245597312111152,1.0066710096841993,True,5376.560546875,1.8901609169765254,0.9997757036809176,0.03915075673357249,BC,,
benign,0.0015566200000307617,0.20471803655559345,1.7499194167821412,True,0.3671875,1.8504257235124533,0.9998638132682759,0.24455819966667353,0.2461148196667043,1.1822383998673474,True,5376.560546875,1.8504257235124533,0.9998638132682759,0.03961676503627798,BC,,
benign,0.0015282200000115154,0.18193175423076668,4.921791303341183,True,0.3671875,1.8519402385731913,0.9995871634750596,0.24698524533334876,0.24851346533336027,1.2346434291159762,True,5376.5107421875,1.8519402385731913,0.9995871634750596,0.04638806894191161,BC,,
benign,0.0017216500000358792,0.11847317055555272,1.8579414738954854,True,0.3671875,1.9470482149745971,0.9999823519214079,0.24697316755556484,0.24869481755560072,0.9642585035127783,True,5376.560546875,1.9470482149745971,0.9999823519214079,0.024422527554120776,BC,,
benign,0.0014695300000084899,0.1661862929999845,1.0653313946505594,True,0.3671875,1.8569280646387158,0.9990132127196049,0.24909005666665962,0.2505595866666681,1.5054083741854312,True,5376.560546875,1.8569280646387158,0.9990132127196049,0.09077032173671662,BC,,
benign,0.001525099999980739,0.2802717441111074,2.3722810444597813,True,0.3671875,1.6849225573811257,0.9986552726301708,0.24553897699999855,0.2470640769999793,0.6819977318354621,True,5376.5107421875,1.6849225573811257,0.9986552726301708,0.15132964658616843,BC,,
benign,0.0014858600000025035,0.15051790766665363,3.0916188402939184,True,0.3671875,1.8951537563007907,0.9996462179414385,0.24681363411111257,0.24829949411111507,1.0488595939196372,True,5376.5107421875,1.8951537563007907,0.9996462179414385,0.07586854847929048,BC,,
benign,0.0015371000000072854,0.17269713388889663,1.779513194485939,True,0.3671875,1.8550133161985307,0.9995306937391759,0.24678453277778722,0.2483216327777945,1.4971096145451561,True,5376.5107421875,1.8550133161985307,0.9995306937391759,0.0648829444428134,BC,,
benign,0.0015470690000256582,0.13801372669231043,4.955449841879324,True,0.3671875,1.914041871722578,0.9997676184905784,0.2531890655555521,0.25473613455557775,1.214752229659067,True,5376.5107421875,1.914041871722578,0.9997676184905784,0.0750106914161146,BC,,
benign,0.0015161110000008193,0.13332871311110417,1.396927573169389,True,0.3671875,1.9181785212010232,0.9997603614226834,0.2492976569999933,0.2508137679999941,2.0600429798742086,True,5376.5107421875,1.9181785212010232,0.9997603614226834,0.10321275625891113,BC,,
benign,0.0015720910000140975,0.12031070744445868,1.0832124773981588,True,0.3671875,1.9293816971055011,0.9997710918239605,0.24985170366664988,0.251423794666664,1.2522479452717792,True,5376.560546875,1.9293816971055011,0.9997710918239605,0.07172613888238577,BC,,
benign,0.001801170000021557,0.14602169900000364,0.7969614105267057,True,0.3671875,1.903183764677622,0.9999119412861088,0.2485823713333275,0.25038354133334906,1.4587200799724953,True,5376.5107421875,1.903183764677622,0.9999119412861088,0.040218754446754046,BC,,
benign,0.0015886400000226786,0.17216548611112456,2.1933285021847526,True,0.3671875,1.8856420748824365,0.9999459877669169,0.244084649444441,0.24567328944446368,1.3311547332919036,True,5376.5107421875,1.8856420748824365,0.9999459877669169,0.04357661132902768,BC,,
benign,0.0016587700000059158,0.1556658511111285,1.3643837198983035,True,0.3671875,1.8833744697738661,0.9996490747744762,0.24724524455556698,0.2489040145555729,1.583300639202911,True,5376.5107421875,1.8833744697738661,0.9996490747744762,0.12632834897518141,BC,,
benign,0.0016713100000060876,0.1308702706666812,1.1846540186651398,True,0.3671875,1.9273700985431144,0.9999696690722465,0.24577388888888485,0.24744519888889094,1.5048957243016898,True,5376.5107421875,1.9273700985431144,0.9999696690722465,0.016529127029496715,BC,,
benign,0.0016679599999633865,0.1059635001111019,1.124272145518488,True,0.3671875,1.9516128835714306,0.9999495032882104,0.2474613612222356,0.249129321222199,1.82079208500355,True,5376.5107421875,1.9516128835714306,0.9999495032882104,0.05090328504507635,BC,,
benign,0.001627789999986362,0.1455516466666672,1.0035851950613728,True,0.3671875,1.90530101436414,0.9999100048255466,0.2458194523333456,0.24744724233333196,0.9749296827614009,True,5376.5107421875,1.90530101436414,0.9999100048255466,0.07075276273212205,BC,,
benign,0.0015244599999846287,0.14600153544440925,2.416175507432412,True,0.3671875,1.8928653892327516,0.9995403461574199,0.24932908577778157,0.2508535457777662,3.404129478795966,True,5376.5107421875,1.8928653892327516,0.9995403461574199,0.10580889926962089,BC,,
benign,0.0015070899999614085,0.11692112811110494,1.2200432090701656,True,0.3671875,1.9394476285328344,0.9999470606521621,0.24707372111111503,0.24858081111107644,3.02785921217475,True,5376.560546875,1.9394476285328344,0.9999470606521621,0.04428318154150834,BC,,
benign,0.0014734499999917716,0.15862002255554822,0.8688249816686309,True,0.3671875,1.8726614553323437,0.9994906632872336,0.2472640171111051,0.24873746711109687,3.030367859596562,True,5376.5107421875,1.8726614553323437,0.9994906632872336,0.09366025561221747,BC,,
benign,0.001540809999994508,0.18273986955553786,2.4904464632548007,True,0.3671875,1.8615685327473377,0.9996905710451907,0.2472135160000006,0.2487543259999951,0.8426118342001441,True,5376.5107421875,1.8615685327473377,0.9996905710451907,0.05584620439681176,BC,,
benign,0.0015338000000042484,0.1670545703333346,2.4046259553235796,True,0.3671875,1.8882959903251741,0.9999010723372266,0.24725755811108582,0.24879135811109007,0.6058142991836988,True,5376.5107421875,1.8882959903251741,0.9999010723372266,0.034770091784981805,BC,,
